Ativo,cod_Ativo_guess,cod_Ativo_guess_norm,Fundo
LFT mar 30,LFTMAR30,LFTMAR30,BBRASIL FIM CP RESP
LFT set 28,LFTSET28,LFTSET28,BBRASIL FIM CP RESP
LFT mar 29,LFTMAR29,LFTMAR29,BBRASIL FIM CP RESP
LFT set 29,LFTSET29,LFTSET29,BBRASIL FIM CP RESP
LFT jun 30,LFTJUN30,LFTJUN30,BH FIRF INFRA
NTN-B28,NTNB28,NTNB28,BH FIRF INFRA
NTN-B30,NTNB30,NTNB30,BH FIRF INFRA
LFT mar 27,LFTMAR27,LFTMAR27,BH FIRF INFRA
NTN-B32,NTNB32,NTNB32,BH FIRF INFRA
LFT mar 27,LFTMAR27,LFTMAR27,BMG SEG
LFT mar 26,LFTMAR26,LFTMAR26,BMG SEG
LFT set 26,LFTSET26,LFTSET26,BMG SEG
LFT set 28,LFTSET28,LFTSET28,BMG SEG
LFT set 27,LFTSET27,LFTSET27,BMG SEG
NTN-B30,NTNB30,NTNB30,BMG SEG
NTN-B 29,NTNB29,NTNB29,BMG SEG
LFT mar 27,LFTMAR27,LFTMAR27,BORDEAUX INFRA
LFT set 29,LFTSET29,LFTSET29,BORDEAUX INFRA
LFT jun 30,LFTJUN30,LFTJUN30,FIRF GERAES
LFT mar 30,LFTMAR30,LFTMAR30,FIRF GERAES
LFT set 26,LFTSET26,LFTSET26,FIRF GERAES
LFT mar 26,LFTMAR26,LFTMAR26,FIRF GERAES 30
LFT set 30,LFTSET30,LFTSET30,GLOBAL BONDS
LFT set 26,LFTSET26,LFTSET26,HORIZONTE
LFT mar 28,LFTMAR28,LFTMAR28,HORIZONTE
LFT mar 27,LFTMAR27,LFTMAR27,MANACA INFRA FIRF
LFT jun 30,LFTJUN30,LFTJUN30,MANACA INFRA FIRF
LFT mar 30,LFTMAR30,LFTMAR30,MANACA INFRA FIRF
LFT mar 27,LFTMAR27,LFTMAR27,TOPAZIO INFRA
LFT set 28,LFTSET28,LFTSET28,TOPAZIO INFRA
NTN-B26,NTNB26,NTNB26,TOPAZIO INFRA
PRIOBZ00001,PRIOBZ00001,PRIOBZ00001,HORIZONTE
LF00240072E,LF00240072E,LF00240072E,BMG SEG
CDB3251WXH0,CDB3251WXH0,CDB3251WXH0,BMG SEG
Provisão,PROVISAO,PROVISAO,AF DEB INCENTIVADAS
Provisão,PROVISAO,PROVISAO,ALFA HORIZON FIA
Provisão,PROVISAO,PROVISAO,BBRASIL FIM CP RESP
Provisão,PROVISAO,PROVISAO,BH FIRF INFRA
Provisão,PROVISAO,PROVISAO,BMG SEG
Provisão,PROVISAO,PROVISAO,BORDEAUX INFRA
Provisão,PROVISAO,PROVISAO,FIA MINAS
Provisão,PROVISAO,PROVISAO,FIRF GERAES
Provisão,PROVISAO,PROVISAO,FIRF GERAES 30
Provisão,PROVISAO,PROVISAO,GLOBAL BONDS
Provisão,PROVISAO,PROVISAO,HORIZONTE
Provisão,PROVISAO,PROVISAO,MANACA INFRA FIRF
Provisão,PROVISAO,PROVISAO,MINAS DIVIDENDOS
Provisão,PROVISAO,PROVISAO,MINAS O.N.E. FIA
Provisão,PROVISAO,PROVISAO,ROMEU FC FIM CP IE
Provisão,PROVISAO,PROVISAO,TOPAZIO INFRA
LFSN250093T,LFSN250093T,LFSN250093T,FIRF GERAES
LFSN250093T,LFSN250093T,LFSN250093T,FIRF GERAES 30
LFSN250093T,LFSN250093T,LFSN250093T,HORIZONTE
LFSN1900008,LFSN1900008,LFSN1900008,FIRF GERAES
LFSN1800HXO,LFSN1800HXO,LFSN1800HXO,FIRF GERAES
LFSN1800D4X,LFSN1800D4X,LFSN1800D4X,FIRF GERAES
LFSN1900CR5,LFSN1900CR5,LFSN1900CR5,FIRF GERAES 30
LFSN RCI,LFSNRCI,LFSNRCI,FIRF GERAES
LFSN RCI,LFSNRCI,LFSNRCI,FIRF GERAES 30
LFSN19001BH,LFSN19001BH,LFSN19001BH,BH FIRF INFRA
LFSN210099R,LFSN210099R,LFSN210099R,BH FIRF INFRA
LFSN19006KN,LFSN19006KN,LFSN19006KN,FIRF GERAES
LFSN19006KM,LFSN19006KM,LFSN19006KM,FIRF GERAES 30
LFSN19006KM,LFSN19006KM,LFSN19006KM,HORIZONTE
LFSN210099R,LFSN210099R,LFSN210099R,HORIZONTE
LFSN19006KM,LFSN19006KM,LFSN19006KM,MANACA INFRA FIRF
LFSN1800DIG,LFSN1800DIG,LFSN1800DIG,FIRF GERAES
LFSN2200E75,LFSN2200E75,LFSN2200E75,BH FIRF INFRA
LFSN2200E75,LFSN2200E75,LFSN2200E75,FIRF GERAES
LFSN2200E75,LFSN2200E75,LFSN2200E75,FIRF GERAES 30
LFSN2200E75,LFSN2200E75,LFSN2200E75,HORIZONTE
LFSN2200E75,LFSN2200E75,LFSN2200E75,MANACA INFRA FIRF
LFSN1900971,LFSN1900971,LFSN1900971,BH FIRF INFRA
LFSN19009YU,LFSN19009YU,LFSN19009YU,BH FIRF INFRA
LFSN1900971,LFSN1900971,LFSN1900971,BORDEAUX INFRA
LFSN1900971,LFSN1900971,LFSN1900971,FIRF GERAES
LFSN19009YU,LFSN19009YU,LFSN19009YU,FIRF GERAES
LFSN1900971,LFSN1900971,LFSN1900971,FIRF GERAES 30
LFSN2200G2L,LFSN2200G2L,LFSN2200G2L,FIRF GERAES
LFSN2200G7D,LFSN2200G7D,LFSN2200G7D,FIRF GERAES 30
LFSN2200G2K,LFSN2200G2K,LFSN2200G2K,HORIZONTE
LFSN2200G2M,LFSN2200G2M,LFSN2200G2M,HORIZONTE
LFSN2200G2M,LFSN2200G2M,LFSN2200G2M,MANACA INFRA FIRF
LFSC24000BB,LFSC24000BB,LFSC24000BB,BH FIRF INFRA
LFSC24000BB,LFSC24000BB,LFSC24000BB,FIRF GERAES
LFSC24000BB,LFSC24000BB,LFSC24000BB,FIRF GERAES 30
LFSC24000BB,LFSC24000BB,LFSC24000BB,HORIZONTE
LFSC24000BB,LFSC24000BB,LFSC24000BB,MANACA INFRA FIRF
LFSC24000BB,LFSC24000BB,LFSC24000BB,TOPAZIO INFRA
LFSC22000ZR,LFSC22000ZR,LFSC22000ZR,FIRF GERAES
LFSC22000ZR,LFSC22000ZR,LFSC22000ZR,FIRF GERAES 30
LFSC22000ZR,LFSC22000ZR,LFSC22000ZR,HORIZONTE
LFSC19005L3,LFSC19005L3,LFSC19005L3,BH FIRF INFRA
LFSC190054D,LFSC190054D,LFSC190054D,BH FIRF INFRA
