TIPO,Tem_fluxo,CicloJuros,AgendaJuros,IncorporaJuros,DataRef,Emissor,cod_Ativo,Codigo_IF,ISIN,Data Emissão,vencimento,PU_emissão,TipoJuros,pct_flutuante,spread,FormaCDI,taxa_emissão,Data_prox_juros,Data Call Inicial,Call_Periodicidade,Call_Inicio_Apos_anos,Data Call Proxima,source_file,pages_total,pages_blank,pages_used,extractor_used,leitura_ok,sanity_check,sanity_notes,debug_bloco_juros,debug_bloco_call,cod_Ativo_count,is_unico,cod_Ativo_group_index,unico_index,Data Proximo Juros,cod_Ativo_norm,cod_root
,BULLET,BULLET,,DESCONHECIDO,2025-04-11,,22L1125977,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\cri cra\22L1125977.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,292,291,,22L1125977,22L1125977
,BULLET,BULLET,,DESCONHECIDO,2025-04-11,,4019021SN1 (Fidc Sumup Senior),,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\fundos\4019021SN1 (Fidc Sumup Senior).pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,378,377,,4019021SN1FIDCSUMUPSENIOR,4019021SN1FIDCSUMUPSENIO
,BULLET,BULLET,,DESCONHECIDO,2025-04-11,,AGSF13,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\AGSF13.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,409,408,,AGSF13,AGSF13
,BULLET,BULLET,,DESCONHECIDO,2025-04-11,,CEROA3,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\CEROA3.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,838,837,,CEROA3,CEROA3
,BULLET,BULLET,,DESCONHECIDO,2025-04-11,,CERT11,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\CERT11.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,839,838,,CERT11,CERT11
,BULLET,BULLET,,DESCONHECIDO,2025-04-11,,CHSF12,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\CHSF12.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,846,845,,CHSF12,CHSF12
,BULLET,BULLET,,DESCONHECIDO,2025-04-11,,CMDT33,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\CMDT33.pdf,1,0,1,debug_text,True,FAIL,"missing: tipo,emissor,datas",,,1,True,848,847,,CMDT33,CMDT33
,BULLET,BULLET,,DESCONHECIDO,2025-04-11,,CRNP11,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\CRNP11.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,863,862,,CRNP11,CRNP11
,BULLET,BULLET,,DESCONHECIDO,2025-04-11,,LAMEA2,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\LAMEA2.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,931,930,,LAMEA2,LAMEA2
,BULLET,BULLET,,DESCONHECIDO,2025-04-11,,LCAMA5,,,,,,,,,UNKNOWN,,,,,,,Z:\Asset Management\FUNDOS e CLUBES\CETIP - Instrumentos Financeiros (TELAS)\LCAMA5.pdf,0,0,0,none,False,FAIL,"no_text_extracted; missing: tipo,emissor,datas",,,1,True,935,934,,LCAMA5,LCAMA5
